State Name,District Name,Block Name,Panchayat Name,Village Name,Habitation Name,Quality Parameter,Year
ASSAM,JORHAT,TITABAR,MADHAPUR,CHRISTIAN GAON,CHRISTAN  CHUCK,Arsenic,1/4/2010
WEST BENGAL,PASCHIM MEDINIPUR,NAYAGRAM,MALAM,CHUN PARA,CHUNPARA,Iron,1/4/2010
WEST BENGAL,HOWRAH,SHYAMPUR-I,NABAGRAM,BAR KALIA,BARKOLIA,Iron,1/4/2011
JAMMU AND KASHMIR,RAJAURI,SUNDERBANI,DEVAK,BANDNAI,BANDNAI,Salinity,1/4/2011
ASSAM,LAKHIMPUR,BOGINODI,NAKADAM,BHIMPARA (BIHUAPAM),BIHUAPAM,Iron,1/4/2009
RAJASTHAN,JAIPUR,CHAKSU,KOTHUN,SHRI BRIJPURA,DHANI MEENA WALI,Fluoride,1/4/2011
ASSAM,NAGAON,BARHAMPUR,RANGALU,URIAGAN GRANT TUBUKI,KUDUS ALI CHUBA,Iron,1/4/2012
ORISSA,ANUGUL,ATHAMALLIK,NAGAON,KAMALAPUR,KAMALAPUR,Iron,1/4/2009
RAJASTHAN,BARMER,BARMER,TARATARA,HUDASAR,SUTHARO KI DHANI,Salinity,1/4/2010
ORISSA,BAUDH,HARABHANGA,KUSANGA,KUSANGA,KUSA SINGA,Iron,1/4/2010
BIHAR,PURNIA,BAISA,RAIBER,KHUSHALPUR,PIRMAZNU,Iron,1/4/2012
RAJASTHAN,JODHPUR,BALESAR,KETU MADA,KETOOMANDA,KHICHI JETHU SINGH KD,Salinity,1/4/2009
BIHAR,NALANDA,HILSA,KAPASIAWN,KAPASIAWAN,TAR PAR,Fluoride,1/4/2009
ORISSA,PURI,KAKATPUR,KATAKANA,KHANDALPUR,KANTA SAHI,Iron,1/4/2009
CHHATTISGARH,RAJNANDAGON,DONGERGAON,DEWAN JHITIA,GODRI,GODRI,Iron,1/4/2012
RAJASTHAN,DUNGARPUR,BICHHIWARA,PALPADAR,PALPADAR,DHOLKI MAHUDI,Nitrate,1/4/2012
BIHAR,SUPAUL,BASANTPUR,BANAILI PATTI,BAURAHA,MEHATA TOLA,Iron,1/4/2009
BIHAR,PURNIA,SRINAGAR,SIGHIA,SINGHIA,BALAU TOLA SAUTARI,Iron,1/4/2010
ORISSA,ANUGUL,TALCHER,GOPALPRASAD,KUSUMAPAL,KUSUMPAL NUA,Iron,1/4/2009
KARNATAKA,KOPPAL ,KOPPAL,HOSAGAL,HIRESULIKERI,HIRESULIKERI,Fluoride,1/4/2009
RAJASTHAN,JALOR,RANIWARA,KARWADA,KARWARA,MEGHWALO KI DHANI,Fluoride,1/4/2011
BIHAR,KISHANGANJ,TERHAGACHH,MATYARI,MATIARI,SAHLI TOLA,Iron,1/4/2010
MAHARASHTRA,BEED,BEED,KAMBI,KAMBI,KAMBI,Fluoride,1/4/2009
ORISSA,MAYURBHANJ,SULEIPADA,UFALGADIA,MURGAPAHADI,UTTAR SAHI,Iron,1/4/2011
ASSAM,DHEMAJI,MURKONSELEK,SIMENCHAPORI,JURHATIA,JORHATIA,Iron,1/4/2009
TRIPURA,WEST TRIPURA,JAMPAIJALA,PRAVAPUR,GABORDI PARA,HARIKANTA PARA (NORTH),Iron,1/4/2010
RAJASTHAN,JODHPUR,BAP,CHEEMANA,CHEEMANA,MEGRAM KD,Salinity,1/4/2010
TRIPURA,SOUTH TRIPURA,AMARPUR,DEBBARI,KAMAYAKHALA,K.KHALA NORTH,Iron,1/4/2009
MAHARASHTRA,CHANDRAPUR,SINDEWAHI,RAMALA,RAMALA,RAMALA,Nitrate,1/4/2009
TRIPURA,SOUTH TRIPURA,SATCHAND,THAIBUNG,NAGACHI PARA,THAKUR PARA,Iron,1/4/2010
BIHAR,SUPAUL,CHHATAPUR,MADHOPUR,MADHOPUR,KUNZARA TOLA,Iron,1/4/2011
BIHAR,KAIMUR (BHABUA),BHABUA,KAITHI,KHANETHI,KHANETHI PURAB,Fluoride,1/4/2009
TRIPURA,SOUTH TRIPURA,BAGAFA,UTTAR HICHACHERRA,PATICHARRA,NABARAM PARA,Iron,1/4/2009
CHATTISGARH,DANTEWADA,DANTEWADA,PONDUM,PONDUM,BOTTOM PARA-1,Iron,1/4/2010
RAJASTHAN,NAGAUR,DIDWANA,PEEDWA,KUROLI,BHAKHARON KI DHANI,Fluoride,1/4/2012
ASSAM,LAKHIMPUR,NOWBOICHA,RANGANODI,AHOMONI,AHOMANI MIRI,Iron,1/4/2009
CHHATTISGARH,SURAJPUR,PRATAPUR,SONAGARA,SONAGARA,LOHAROPARA,Iron,1/4/2012
RAJASTHAN,JAISALMER,SAM,BIDA,FALEDI,DHADHA KI DHANI,Salinity,1/4/2009
RAJASTHAN,BARMER,BARMER,RANIGAON,RANIGAWN,NARNANI BHIL KI DHANI,Salinity,1/4/2010
RAJASTHAN,TONK,MALPURA,JHADALI,PHOOL MALIYA,PHOOLMALIAN,Fluoride,1/4/2009
MADHYA PRADESH,RAJGARH,BIAORA,BALCHIDI,SUNDER HEDA,SUNDAR HEDA,Fluoride,1/4/2010
ORISSA,RAYAGADA,KOLANARA,SURI,MANSINGHA,CHINTALIGUDA,Iron,1/4/2009
RAJASTHAN,JODHPUR,BAP,RANERI,ANOPNAGAR,JALUO KD,Salinity,1/4/2012
ASSAM,KAMRUP,RANI,DAKHIN BHOLA GAON,MANIKPUR F.V.,MANIKPUR F.V.,Iron,1/4/2010
ASSAM,NAGAON,JUGIJAN,HAYANG BASTI,HAYANG BASTI,UTTAR HAYANG BASTI,Iron,1/4/2012
RAJASTHAN,TONK,DEOLI,TOKARAWAS,KHAROI,GANESH MEENA KI DHANI,Fluoride,1/4/2011
MADHYA PRADESH,VIDISHA,BASODA,SASTAKHEDI JAAJON,SATTAKHEDI JAJON,SASTAKHEDI JAAJON,Fluoride,1/4/2011
KARNATAKA,TUMKUR,PAVAGADA,SASALAKUNTE,KENCHAMMANAHALLI,BASAVANAHALLI,Fluoride,1/4/2009
CHATTISGARH,BIJAPUR,BIJAPUR,PADMOOR,PADMOOR,PORIYA PARA,Iron,1/4/2009
ASSAM,GOLAGHAT,GOLAGHAT CENTRAL,UTTAR GURJUGANIA,BATIPORIA LUKUMAI GAO,TARUA CHUK,Arsenic,1/4/2012
ASSAM,JORHAT,KALIAPANI,BHOGAMUKH,BOHOTIA GAON,BAHOTIA CHUCK,Iron,1/4/2010
RAJASTHAN,BARMER,BAITU,HEERA KI DHANI,HEERA KI DHANI,HARURAM KI DHANI,Salinity,1/4/2011
BIHAR,SUPAUL,PIPRA,BASAHA,BISHUNPUR,GADHRIYA DOM TOLA,Iron,1/4/2009
RAJASTHAN,JHUNJHUNUN,SURAJGARH,DEVROD,RAMNATHPURA,RAMNATHPURA,Salinity,1/4/2012
RAJASTHAN,BARMER,BALOTRA,KALEWA,GANGANION KI DHANI,JAGRUPO SARNO KI DHANI,Salinity,1/4/2011
ASSAM,DIBRUGARH,KHOWANG,NA KHAT,NAKHAT SONOWAL GAON,NAKHAT SONOWAL MAZOR CHUCK,Iron,1/4/2010
ASSAM,BONGAIGAON,MANIKPUR,PATILADOHA,PATILADOHA,NAWA PARA,Iron,1/4/2009
RAJASTHAN,SAWAI MADHOPUR,BAMANWAS,SUMEL,SUMEL,KOLIYAN KI DHANI,Salinity,1/4/2009
RAJASTHAN,BARMER,BARMER,BARMER AGORE,BARMER GADAN,MEGHWALO KI DHANI,Salinity,1/4/2011
WEST BENGAL,MALDAH,GAZOLE,KARKACH,NALPUR,NALPUR,Iron,1/4/2009
RAJASTHAN,UDAIPUR,SALUMBAR,MATASULA,SUTHARIYA,GAMETI FALA,Fluoride,1/4/2009
ORISSA,RAYAGADA,PADMAPUR,KHILAPODAR,LACHAMANGUDA,LACHMANGUDA,Iron,1/4/2010
WEST BENGAL,NADIA,CHAKDAH,KANCHRAPARA,MURATIPUR (P),PURBA PARA,Arsenic,1/4/2011
BIHAR,PURNIA,SRINAGAR,CHANKA CHAUKA,CHANKA CHAUKA,MEHTA TOLA MUSHARI,Iron,1/4/2011
MADHYA PRADESH,MANDLA,NAINPUR,PALASUNDER,DUNGARIYA,BHAGDI TOLA,Fluoride,1/4/2011
BIHAR,MADHEPURA,GHAILARH,SRINAGAR,SRINAGAR,DHURPATTI,Iron,1/4/2010
TRIPURA,WEST TRIPURA,PADMABIL,DAKSHIN PADMABIL,LANKAPURA BARI,UDHAN DAS PARA,Iron,1/4/2011
BIHAR,MUNGER,MUNGER,MAI,TOUFIR,CHAIN TOLA(NAYA),Iron,1/4/2012
CHATTISGARH,SURGUJA,SURAJPUR,KAMALPUR,BHAGWANPURKALA,BIRAJHIYAPARA,Iron,1/4/2011
